"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"PARTNER_API_PIPELINE_MANAGEMENT_001: partner lists deals - only its OWN deals are returned.

The partner registers a deal, then GET /partner/portal/deals returns it and every
row is scoped to the partner (partnerId == own) — no cross-partner leakage.
","0","test_partner_api_pipeline_management_001","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_pipeline_management","",""
"PARTNER_API_PARTNER_PORTAL_002: partner retrieves its own deal by id - full record.

The partner registers its own deal (POST /partner/portal/deals), then GET
/partner/portal/deals/{id} returns the full record scoped to the partner.
","0","test_partner_api_partner_portal_002","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_partner_portal","",""
"PARTNER_API_PARTNER_ACCOUNT_MANAGEMENT_011: list with invalid pagination - graceful 4xx, never 5xx.

Negative counterpart of _001 (GET list). Invalid pagination params must be
handled gracefully: the server must NEVER return 5xx on bad input. The BE now
rejects them with 400 (verified 2026-06-22): ``page=0`` / ``page=-1`` →
""page must not be less than 1"" (previously HTTP 500 crash), and negative /
oversized / non-numeric ``limit`` are likewise rejected with 400 (previously
silently defaulted). Step [1/2] hard-asserts no-5xx; step [2/2] observes the
limit validation without asserting an exact code.
","0","test_partner_api_partner_account_management_011","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_partners","",""
"PARTNER_API_AUDIT_LOG_003: SA exports the audit log as JSON or CSV (within the 10k-row cap).

Read-only contract on ``GET /sa-partners-api/v1/sa/audit-logs/export``: returns
HTTP 200 with a downloadable file — ``format=json`` yields an
``application/json`` array of audit entries, ``format=csv`` yields ``text/csv``
with an audit-column header, and no ``format`` defaults to CSV. The export is
capped at 10000 rows.
","0","test_partner_api_audit_log_003","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_audit_logs","",""
"PARTNER_API_AUDIT_LOG_005: list audit logs with invalid pagination/filter - graceful 4xx, never 5xx.

Negative counterpart of _001. Invalid pagination and out-of-enum / bad-format
filters must be rejected with 4xx (never 5xx) + a clear message. A logically
valid but empty range (dateFrom > dateTo) is handled gracefully (200, empty) —
not an error. All cases run (failures collected) so one gap never hides others.
","0","test_partner_api_audit_log_005","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_audit_logs","",""
"PARTNER_API_AUTH_ACCESS_CONTROL_001: valid partner JWT - a partner-scoped request succeeds.

A user logged in with a valid partner JWT can call a partner-scoped endpoint
(GET /partner/auth/me) and receives HTTP 200 with their identity.
","0","test_partner_api_auth_access_control_001","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_auth_access_control","",""
"PARTNER_API_DEAL_REGISTRATION_PIPELINE_022: duplicate deal by the SAME partner - rejected, no second deal.

Idempotency / duplicate counterpart of _001 (register). When the SAME partner
registers the SAME prospect (name + email) a second time, the API does NOT
create a second deal — it rejects with HTTP 400 (""...already exists...""), a hard
duplicate. This is distinct from _004 (a DIFFERENT partner registering the same
prospect → 201 + conflictStatus 'flagged'). Verified 2026-06-22: 400, no deal id
returned, no conflict path.
","0","test_partner_api_deal_registration_pipeline_022","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_deals","",""
"PARTNER_API_DEAL_REGISTRATION_PIPELINE_001: register a partner deal - deal is created (registered).

Happy-path deal registration on ``POST /sa-partners-api/v1/sa/deals``: a valid
payload (partnerId + planId + dealType + prospect + ACV + close date) returns
HTTP 201, persists the deal with a server-assigned id, starts it in
``status = ""registered""`` with a protection window (``protectionExpiresAt``),
and echoes the submitted fields. The registration is confirmed to persist via
a follow-up GET.
","0","test_partner_api_deal_registration_pipeline_001","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_deals","",""
"PARTNER_API_PARTNER_PORTAL_004: partner gets its own commission summary - earned/pending/paid totals.

GET /partner/portal/commissions/summary returns the cents totals
(totalEarnedCents / totalPendingCents / totalPaidCents / clawbackExposureCents)
as non-negative ints. No params → no invalid-input negative; GET → no idempotency.
","0","test_partner_api_partner_portal_004","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_partner_portal","",""
"PARTNER_API_CERTIFICATIONS_SA_012: revoke certification invalid input/state - rejected with 4xx.

Negative counterpart of _002 (revoke). Missing reason, a cert the user does not
hold, a ghost/malformed userId, and re-revoking an already-revoked cert must all
be rejected with 4xx + a clear message. The already-revoked case also documents
revoke's repeat behavior (mutating action — not a duplicate-create, so no separate
idempotency TC). All cases run (failures collected).
","0","test_partner_api_certifications_sa_012","tests.blazeup.api.partner","2026-07-16","broken","2026-07-16","","test_sa_certifications","",""
